model_name,phase,epoch,metric_name,metric_value
eval_ref_twotower_electrasmall_wac_embeddings_no_positions,val,4,accuracy,0.1813400834798813
eval_ref_twotower_electrasmall_wac_embeddings_no_positions,val,4,loss,3.9972782135009766
eval_ref_twotower_electrasmall_wac_embeddings_no_positions,train,4,accuracy,0.1687791645526886
eval_ref_twotower_electrasmall_wac_embeddings_no_positions,train,4,loss,4.03172492980957
eval_ref_twotower_electrasmall_wac_embeddings,val,0,accuracy,0.1813400834798813
eval_ref_twotower_electrasmall_wac_embeddings,val,0,loss,nan
eval_ref_twotower_electrasmall_wac_embeddings,train,0,accuracy,0.17941661179065704
eval_ref_twotower_electrasmall_wac_embeddings,train,0,loss,nan
eval_ref_twotower_electrasmall_wac_embeddings_two_sizes,val,0,accuracy,0.18153487145900726
eval_ref_twotower_electrasmall_wac_embeddings_two_sizes,val,0,loss,3.996656656265259
eval_ref_twotower_electrasmall_wac_embeddings_two_sizes,train,0,accuracy,0.1883428990840912
eval_ref_twotower_electrasmall_wac_embeddings_two_sizes,train,0,loss,3.9706273078918457
eval_ref_twotower_electrasmall_wac_embeddings,val,1,accuracy,0.1813400834798813
eval_ref_twotower_electrasmall_wac_embeddings,val,1,loss,nan
eval_ref_twotower_electrasmall_wac_embeddings,train,1,accuracy,0.17941661179065704
eval_ref_twotower_electrasmall_wac_embeddings,train,1,loss,nan
eval_ref_twotower_electrasmall_wac_embeddings_two_sizes,val,1,accuracy,0.1841643899679184
eval_ref_twotower_electrasmall_wac_embeddings_two_sizes,val,1,loss,3.9895951747894287
eval_ref_twotower_electrasmall_wac_embeddings_two_sizes,train,1,accuracy,0.1591472327709198
eval_ref_twotower_electrasmall_wac_embeddings_two_sizes,train,1,loss,4.058050155639648
